,,standing trees,,,,
,plot_id,code,species,DBH,h,notes
,c01vip,,Corylus avellana,"6,5",6,
,c01vip,,Corylus avellana,6,,
,c01vip,,Corylus avellana,9,7,
,c01vip,ps,Acer pseudoplatanus,8,,
,c01vip,fi,Picea abies,"12,5","8,5",
,c01vip,fi,Picea abies,9,,
,c01vip,fi,Picea abies,9,"7,3",
,c01vip,cb,Carpinus betulus,16,,
,c01vip,fr,Fraxinus excelsior,"26,5",,
,c01vip,cb,Carpinus betulus,22,,
,c01vip,,Corylus avellana,"8,5",,x5
,c01vip,pl,Acer platanoides,38,26,
,c01vip,fr,Fraxinus excelsior,27,,
,c01vip,fr,Fraxinus excelsior,35,"27,3",
,c01vip,cb,Carpinus betulus,7,"7,5",
,c01vip,fa,Fagus sylvatica,12,,
,c01vip,fi,Picea abies,10,,
,c01vip,,Corylus avellana,8,,x4
,c01vip,fr,Fraxinus excelsior,31,"28,7",
,c01vip,cb,Carpinus betulus,13,,
,c01vip,fr,Fraxinus excelsior,27,,
,c01vip,fi,Picea abies,6,,
,c01vip,fr,Fraxinus excelsior,24,,
,c01vip,fi,Picea abies,8,5,
,c01vip,fr,Fraxinus excelsior,35,,maybe dead
,c01vip,fr,Fraxinus excelsior,36,,
,c01vip,,Corylus avellana,8,6,
,c01vip,fi,Picea abies,10,5,
,c01vip,pl,Acer platanoides,50,,
,c04vip,qr,Quercus robur,43,"26,9",
,c04vip,,Quercus robur,36,"25,3",
,c04vip,cb,Carpinus betulus,22,"15,9",
,c04vip,fa,Fagus sylvatica,54,"26,5",
,c04vip,qr,Quercus robur,74,"33,7",
,c04vip,qr,Quercus robur,21,,
,c04vip,qr,Quercus robur,38,,
,c05,cb,Carpinus betulus,20,,
,c05,cb,Carpinus betulus,12,,
,c05,cb,Carpinus betulus,9,,
,c05,cb,Carpinus betulus,10,,
,c05,cb,Carpinus betulus,14,"12,4",
,c05,al,Alnus glutinosa,17,,
,c05,al,Alnus glutinosa,17,,
,c05,al,Alnus glutinosa,23,16,
,c05,al,Alnus glutinosa,14,"18,9",
,c05,al,Alnus glutinosa,9,,
,c05,al,Alnus glutinosa,21,"18,5",
,c05,al,Alnus glutinosa,6,7,
,c07vip,fa,Fagus sylvatica,16,,
,c07vip,fa,Fagus sylvatica,18,20,
,c07vip,fa,Fagus sylvatica,7,,
,c07vip,fa,Fagus sylvatica,"16,5",,
,c07vip,fa,Fagus sylvatica,"19,5",,
,c07vip,fa,Fagus sylvatica,22,"15,5",
,c07vip,fa,Fagus sylvatica,18,,
,c07vip,fa,Fagus sylvatica,"19,5",,
,c07vip,fa,Fagus sylvatica,24,,
,c07vip,cb,Carpinus betulus,8,,
,c07vip,cb,Carpinus betulus,23,,
,c07vip,fa,Fagus sylvatica,9,,
,c07vip,fa,Fagus sylvatica,10,,
,c07vip,fa,Fagus sylvatica,"6,5",,
,c07vip,fa,Fagus sylvatica,17,,
,c07vip,fa,Fagus sylvatica,"7,5",,
,c07vip,cb,Carpinus betulus,"22,5","18,5",
,c07vip,cb,Carpinus betulus,"6,5",10,
,c07vip,fa,Fagus sylvatica,"9,5",,
,c07vip,fa,Fagus sylvatica,"16,5",,
,c07vip,fa,Fagus sylvatica,7,,
,c07vip,fa,Fagus sylvatica,18,"19,5",
,c07vip,fa,Fagus sylvatica,18,,
,c07vip,fa,Fagus sylvatica,10,,
,c07vip,fa,Fagus sylvatica,17,,
,c07vip,fa,Fagus sylvatica,"17,5",14,
,c07vip,fa,Fagus sylvatica,8,,
,c07vip,fa,Fagus sylvatica,"9,5",,
,c07vip,fa,Fagus sylvatica,17,,
,c07vip,fa,Fagus sylvatica,10,16,
,c07vip,fa,Fagus sylvatica,"18,5",,
,c07vip,fa,Fagus sylvatica,11,,
,c07vip,fa,Fagus sylvatica,12,"18,5",
,c07vip,fa,Fagus sylvatica,"15,5",,
,c07vip,fa,Fagus sylvatica,18,,
,c07vip,fa,Fagus sylvatica,"10,5",,
,c07vip,fa,Fagus sylvatica,11,,
,c07vip,fa,Fagus sylvatica,19,,
,c07vip,fa,Fagus sylvatica,13,15,
,c07vip,fa,Fagus sylvatica,"24,5","18,1",
,c07vip,fa,Fagus sylvatica,"6,5",,
,c09,la,Larix decidua,33,"26,6",
,c09,la,Larix decidua,49,"34,8",
,b08,du,Pseudotsuga menziesii,39,,
,b08,du,Pseudotsuga menziesii,10,,
,b08,du,Pseudotsuga menziesii,58,33,
,b08,du,Pseudotsuga menziesii,"31,5","25,6",
,b09,fi,Picea abies,42,"29,4",
,b09,fi,Picea abies,50,"30,2",
,b09,fi,Picea abies,47,,
,b10,al,Alnus glutinosa,16,"12,9",
,b10,al,Alnus glutinosa,"20,5",,
,b10,al,Alnus glutinosa,"27,5","16,6",
,b10,al,Alnus glutinosa,"22,5",,
,b10,al,Alnus glutinosa,18,"16,3",
,b10,al,Alnus glutinosa,"20,7","16,9",
,b10,al,Alnus glutinosa,27,,
,b10,bi,Betula pendula,29,20,
,b12,ro,Quercus rubra,"43,5",31,
,b12,ro,Quercus rubra,49,"33,6",
,b12,ro,Quercus rubra,20,"24,7",
,b12,ro,Quercus rubra,32,30,
,b12,ro,Quercus rubra,"21,5",23,
,b13,qr,Quercus robur,22,"15,7",
,b13,qr,Quercus robur,26,19,
,b13,qr,Quercus robur,"14,5","16,6",
,b13,qr,Quercus robur,19,"17,8",
,b13,qr,Quercus robur,15,"13,9",
,b13,qr,Quercus robur,12,"14,3",
,b13,qr,Quercus robur,14,"15,6",
,b13,qr,Quercus robur,22,"20,3",
,c10,pi,Pinus sylvestris,45,,
,c10,pi,Pinus sylvestris,32,"24,4",
,c10,pi,Pinus sylvestris,38,23,
,c10,fr,Fraxinus excelsior,13,"12,6",
,c10,bi,Betula pendula,17,"15,2",
,c10,ps,Acer pseudoplatanus,79,34,
,c10,cb,Carpinus betulus,6,"5,5",
,c10,cb,Carpinus betulus,7,"4,5",
,c11,cb,Carpinus betulus,"9,5",4,
,c11,ps,Acer pseudoplatanus,62,"29,7",
,c11,fr,Fraxinus excelsior,40,35,
,a02vip,al,Alnus glutinosa,22,"21,7",
,a02vip,,Alnus glutinosa,30,"22,2",
,a02vip,al,Alnus glutinosa,15,,
,a02vip,al,Alnus glutinosa,30,,
,a02vip,pru,Prunus spp.,17,"12,2",check picture
,a02vip,al,Alnus glutinosa,31,"22,3",
,a02vip,al,Alnus glutinosa,"26,5","20,8",
,a02vip,al,Alnus glutinosa,21,,
,a02vip,al,Alnus glutinosa,28,"23,6",
,a02vip,al,Alnus glutinosa,29,,
,a02vip,al,Alnus glutinosa,"23,2","19,6",
,a02vip,al,Alnus glutinosa,33,,
,a02vip,al,Alnus glutinosa,42,"23,2",
,a02vip,al,Alnus glutinosa,22,"20,6",
,a02vip,al,Alnus glutinosa,"27,5",,
,a02vip,al,Alnus glutinosa,21,,
,a03vip,ps,Acer pseudoplatanus,28,"22,1",
,a03vip,fr,Fraxinus excelsior,"12,5",16,
,a03vip,bi,Betula pendula,27,"24,4",
,a03vip,fr,Fraxinus excelsior,22,"18,5",
,a03vip,fr,Fraxinus excelsior,8,11,
,a03vip,al,Alnus glutinosa,18,"21,2",
,a03vip,al,Alnus glutinosa,35,"25,3",
,b01vip,fa,Fagus sylvatica,25,"33,7",
,b01vip,fi,Picea abies,15,"16,5",
,b02vip,la,Larix decidua,39,"27,3",
,b02vip,pi,Pinus sylvestris,36,,
,b02vip,pi,Pinus sylvestris,46,"33,8",
,b02vip,la,Larix decidua,47,,
,b02vip,la,Larix decidua,59,"30,2",
,b02vip,la,Larix decidua,50,,
,b02vip,la,Larix decidua,35,"27,6",
,b02vip,fi,Picea abies,10,"5,5",
,b03vip,al,Alnus glutinosa,27,,
,b03vip,al,Alnus glutinosa,35,,
,b03vip,al,Alnus glutinosa,29,,
,b03vip,al,Alnus glutinosa,40,,
,b03vip,al,Alnus glutinosa,34,34,
,b03vip,fr,Fraxinus excelsior,9,,
,b03vip,fr,Fraxinus excelsior,7,,
,b03vip,al,Alnus glutinosa,33,"30,4",
,b03vip,al,Alnus glutinosa,27,,
,b03vip,al,Alnus glutinosa,28,33,
,b03vip,al,Alnus glutinosa,36,,
,b03vip,al,Alnus glutinosa,35,"32,7",
,b03vip,al,Alnus glutinosa,32,,
,b03vip,al,Alnus glutinosa,35,,
,b03vip,fi,Picea abies,17,,
,b03vip,al,Alnus glutinosa,30,,
,b03vip,fi,Picea abies,16,"13,2",
,b03vip,al,Alnus glutinosa,"34,6","32,4",
,b03vip,al,Alnus glutinosa,30,,
,b03vip,al,Alnus glutinosa,"32,5",,
,b03vip,al,Alnus glutinosa,"33,8",30,
,b05vip,fa,Fagus sylvatica,48,35,
,b05vip,fa,Fagus sylvatica,34,"32,6",
,b05vip,fa,Fagus sylvatica,52,,
,b05vip,fa,Fagus sylvatica,27,,
,b05vip,fa,Fagus sylvatica,37,"30,7",
,b05vip,cb,Carpinus betulus,15,"18,6",
,b05vip,fa,Fagus sylvatica,12,"15,3",
,b05vip,fa,Fagus sylvatica,40,,
,b05vip,fa,Fagus sylvatica,52,,
,b05vip,fa,Fagus sylvatica,19,"21,6",
,b05vip,fa,Fagus sylvatica,14,,
,b06vip,fa,Fagus sylvatica,15,"15,2",
,b06vip,fa,Fagus sylvatica,8,6,
,b06vip,fa,Fagus sylvatica,20,"18,7",
,b06vip,qr,Quercus robur,71,30,
,b06vip,fa,Fagus sylvatica,34,"28,5",
,b06vip,fa,Fagus sylvatica,17,,
,b06vip,qr,Quercus robur,50,,
,b06vip,fa,Fagus sylvatica,"12,5",,
,b06vip,fa,Fagus sylvatica,32,"21,8",
,b06vip,qr,Quercus robur,60,,
,b06vip,fa,Fagus sylvatica,37,,
,b06vip,qr,Quercus robur,51,"28,8",
,b07vip,fi,Picea abies,25,"21,9",
,d02vip,fi,Picea abies,7,"4,3",
,d02vip,fa,Fagus sylvatica,10,,
,d02vip,fi,Picea abies,6,"4,5",
,d02vip,fi,Picea abies,7,"5,2",
,d02vip,fi,Picea abies,6,"4,5",
,d02vip,la,Larix decidua,45,32,
,d02vip,fi,Picea abies,15,,
,d02vip,la,Larix decidua,43,31,
,d02vip,fi,Picea abies,23,,
,d02vip,fi,Picea abies,23,"27,2",
,d02vip,la,Larix decidua,46,,
,d05vip,fa,Fagus sylvatica,10,,
,d05vip,fa,Fagus sylvatica,"8,5",,
,d05vip,fa,Fagus sylvatica,11,,
,d05vip,fa,Fagus sylvatica,17,"15,9",#REF!
,d05vip,fa,Fagus sylvatica,18,,
,d05vip,fa,Fagus sylvatica,11,,
,d05vip,fa,Fagus sylvatica,"12,5",,
,d05vip,fa,Fagus sylvatica,14,,
,d05vip,fa,Fagus sylvatica,12,,
,d05vip,fa,Fagus sylvatica,"10,5","15,4",
,d05vip,fa,Fagus sylvatica,18,,
,d05vip,fa,Fagus sylvatica,"12,5","14,4",
,d05vip,fa,Fagus sylvatica,20,"15,5",
,d05vip,fa,Fagus sylvatica,9,,
,d05vip,fa,Fagus sylvatica,20,,
,d05vip,fa,Fagus sylvatica,6,,
,d05vip,fa,Fagus sylvatica,12,16,
,d05vip,fa,Fagus sylvatica,16,,
,d05vip,fa,Fagus sylvatica,14,,
,d05vip,fa,Fagus sylvatica,11,,
,d05vip,fa,Fagus sylvatica,13,"17,1",
,d05vip,fa,Fagus sylvatica,8,"13,8",
,d05vip,fa,Fagus sylvatica,19,,
,d05vip,fa,Fagus sylvatica,19,19,
,d05vip,fa,Fagus sylvatica,13,,
,d05vip,fa,Fagus sylvatica,17,"16,6",
,d05vip,fa,Fagus sylvatica,18,,
,d05vip,fa,Fagus sylvatica,6,"8,5",
,d05vip,fa,Fagus sylvatica,19,,
,d05vip,fa,Fagus sylvatica,20,,
,d05vip,fa,Fagus sylvatica,13,,
,d05vip,fa,Fagus sylvatica,18,,
,d05vip,fa,Fagus sylvatica,15,,
,d05vip,fa,Fagus sylvatica,7,,
,d05vip,fa,Fagus sylvatica,10,,
,d05vip,fa,Fagus sylvatica,16,,
,d05vip,fa,Fagus sylvatica,14,,
,d05vip,fa,Fagus sylvatica,15,,
,d05vip,fa,Fagus sylvatica,12,,
,d05vip,fa,Fagus sylvatica,15,,
,d05vip,fa,Fagus sylvatica,13,,
,d07vip,fi,Picea abies,,"18,8",
,d08vip,qr,Quercus robur,33,"22,7",
,d08vip,qr,Quercus robur,36,"27,9",
,d08vip,qr,Quercus robur,20,"22,1",
,d08vip,qr,Quercus robur,26,,
,d08vip,fa,Fagus sylvatica,9,,
,d08vip,fa,Fagus sylvatica,18,"8,4",
,d08vip,qr,Quercus robur,31,"22,5",
,d08vip,qr,Quercus robur,27,"19,8",
,d08vip,qr,Quercus robur,39,,
,d08vip,fi,Picea abies,"8,9",,
,d08vip,fi,Picea abies,"11,5","7,2",
,d09,nn2,FALSE DATA,12,"11,1",
,d09,nn2,FALSE DATA,8,,
,d09,bi,Betula pendula,"12,5","15,1",
,d09,cb,Carpinus betulus,14,"11,5",
,d09,cb,Carpinus betulus,8,,
,d09,cb,Carpinus betulus,9,"9,3",
,d09,nn2,FALSE DATA,16,"13,2",
,d09,ha,Corylus avellana,8,,
,d09,ha,Corylus avellana,8,8,
,d09,ha,Corylus avellana,7,,
,d09,ha,Corylus avellana,"7,5",8,
,d09,ha,Corylus avellana,"7,5",,
,d09,ha,Corylus avellana,"6,5",7,
,d09,ha,Corylus avellana,6,,
,d09,ha,Corylus avellana,"6,5",,
,d09,ha,Corylus avellana,6,7,